favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
941,TweetDeck,You shouldn’t have to be rich to make your voice heard. Hillary on why it’s time to reverse Citizens United: https://t.co/0JXLzK1MMD,,False,Thu Jan 21 19:16:34 +0000 2016,490,690251657343533056
1557,TweetDeck,Something’s wrong when the median wealth for black families is a tiny fraction of what it is for white families. https://t.co/lehHVwUS3k,,False,Wed Feb 17 02:54:47 +0000 2016,811,699789058407579648
2494,TweetDeck,Republicans just voted to repeal Obamacare and defund Planned Parenthood. Good thing we have a Democratic president: https://t.co/vGXkQRRCOE,,False,Thu Jan 07 01:00:59 +0000 2016,1138,684902518179147777
7430,TweetDeck,This is heartbreaking. No child in America should feel afraid to practice their religion or embrace their heritage. https://t.co/QAfnEXH6ls,,False,Thu Oct 27 02:55:44 +0000 2016,3098,791473425323847680
16484,TweetDeck,"None of us can raise a family, build a business, heal a community, or lift a country alone. It takes a village. https://t.co/wOdhhdd0pb",,False,Fri Aug 05 00:00:00 +0000 2016,4473,761351010728153089
9148,TweetDeck,22 memorable moments from the Democratic Convention that you probably missed: https://t.co/xnvFiEKlJC https://t.co/bLqoDfFfvc,,False,Wed Aug 03 02:30:03 +0000 2016,2550,760663995275677696
475,Twitter Web Client,Let's build an economy that works for everyone. Join Hillary: http://t.co/nW2JqXGZT9 http://t.co/qDSTlIljsJ,,False,Mon Jul 13 14:52:00 +0000 2015,320,620606609933398017
3756,TweetDeck,LGBT kids don’t need to be “cured” of anything. https://t.co/NMypo9ZaGY,,False,Thu Jan 07 17:25:56 +0000 2016,1820,685150388979396608
8309,TweetDeck,Our next president needs to do everything possible to make life a little easier for working parents. https://t.co/uadk9gd9Xa,,False,Sat Sep 10 14:07:59 +0000 2016,2676,774610373114732545
6777,Twitter Web Client,"Neo-Nazis, white supremacists, and anti-Semites: three groups @realDonaldTrump is bringing together.
https://t.co/I4aaPQgqbn",,False,Thu Jul 21 01:02:48 +0000 2016,4551,755930994109059072
1225,TweetDeck,"""It is hard to understand why the suspension and expulsion rate is so much higher for black kids than for white kids."" —Hillary",,False,Sat Nov 07 02:28:46 +0000 2015,653,662818948409266178
11609,TweetDeck,"We are better than bigotry, fear, and hate.

Share this if you agree. https://t.co/3TKJ4H68Kz https://t.co/P3XekjLyza",,False,Sun Nov 06 16:39:22 +0000 2016,6422,795304578984067073
4827,TweetDeck,"We’ve seen too many examples of the struggle to live freely, openly, and without fear being marked by violence. We have to stand together.",,False,Mon Jun 13 17:37:40 +0000 2016,1701,742410621354967040
362,Twitter Web Client,"""Hillary's strong values and her drive—I see where she got it.” —Gretchen http://t.co/ZwSVWmDQ4p",,False,Sat Jun 13 17:57:42 +0000 2015,138,609781705411575808
6778,TweetDeck,"America needs leadership in the White House, not a liability. https://t.co/dnhGjfKMRx https://t.co/JnwS6k6SSC",,False,Fri Sep 02 22:12:24 +0000 2016,2708,771833178092933120
1623,TweetDeck,A few bad actors supply the vast majority of guns used in crimes. We need to stop them. https://t.co/fLUBDiGFQ6 https://t.co/bFNQ4LeGcn,,False,Thu Apr 21 20:08:37 +0000 2016,851,723242052595638272
308,TweetDeck,"Tune in to @todayshow for Hillary’s live town hall with @savannahguthrie, starting at 7:30 AM ET. #HillaryTODAY",,False,Mon Oct 05 11:00:26 +0000 2015,162,650988915025944576
3364,Twitter for iPhone,These moms want to make sure no other family has to lose a child to senseless violence. https://t.co/h8H9EWc1qo,,False,Sat May 21 22:57:33 +0000 2016,1791,734156204432183297
8118,TweetDeck,"""Hillary Clinton has the potential to be an excellent president of the United States."" —@WashingtonPost https://t.co/Fo7uO64qqB",,False,Thu Oct 13 13:18:52 +0000 2016,2720,786556812367659008
1154,Twitter Web Client,"""Race remains a deep fault line in America."" http://t.co/U8WFW0eemG http://t.co/iT2NFh3sEQ",,False,Sat Jun 20 23:54:38 +0000 2015,717,612408244527628288
12707,Twitter Web Client,"Remember: Trump, the Birther-in-Chief, still refuses to even release his own tax returns and real medical records. https://t.co/BgtM199Ncg",,False,Fri Sep 16 11:47:06 +0000 2016,7031,776749248943628289
1159,TweetDeck,A lesson from Benghazi: Congress needs to do its part to ensure that our diplomats in dangerous parts of the world are as safe as possible.,,False,Thu Oct 22 16:38:52 +0000 2015,610,657234678085230593
4243,TweetDeck,"Donald Trump's equal pay plan for women: ""You're gonna make the same if you do as good a job."" https://t.co/0qxb8r0OyV",,False,Tue Nov 01 13:00:07 +0000 2016,1927,793437463377276928
1531,Twitter Web Client,"Joining @IAmSteveHarvey today to continue the conversation he's been having on guns in America. Don’t miss it!
https://t.co/fln4WYpSnY",,False,Wed Feb 24 20:20:44 +0000 2016,805,702588996514246656
10743,TweetDeck,"Unions gave us higher wages, weekends, and the largest middle class in the world. That's worth celebrating &amp; protecting. Happy #LaborDay! -H",,False,Mon Sep 05 19:07:48 +0000 2016,4071,772873887214407680
2244,TweetDeck,"""Making differences in people’s lives comes first because Americans everywhere are hungry for solutions."" —Hillary in FL",,False,Wed Mar 16 01:03:54 +0000 2016,884,709908012329275392
4224,Media Studio,Our veterans and military families deserve better than what Donald Trump says about them. https://t.co/1gbXA2gvas,,False,Tue Oct 04 20:30:13 +0000 2016,1738,783403875395072000
754,TweetDeck,"Hillary is committed to overturning Citizens United, the case that helped unleash secret money into U.S. elections. http://t.co/aWC2PNTj9C",,False,Tue Sep 08 15:19:54 +0000 2015,475,641269736731475968
6893,TweetDeck,"“If you elect me next Tuesday, that is the kind of president I will be.” https://t.co/3TKJ4H68Kz https://t.co/cxVjZatDY8",,False,Fri Nov 04 00:59:57 +0000 2016,2188,794343391597391872
1478,TweetDeck,Happy holidays! Text HOLIDAY to 47246 to hear a message from Hillary. https://t.co/pKn6YG6iQp,,False,Thu Dec 24 00:01:01 +0000 2015,588,679813995495178241
1890,TweetDeck,"A great day in East Harlem, in photos. https://t.co/gHbulHPSLu https://t.co/jclVhj7jtD",,False,Sun Apr 17 18:20:35 +0000 2016,816,721765314720100352
19793,TweetDeck,"If Donald is going to whine before the game is even over, he doesn’t have what it takes to do this job. #DebateNight",,False,Thu Oct 20 02:13:57 +0000 2016,7073,788926196297953281
800,TweetDeck,El trabajo de un presidente o una presidenta es hacer todo lo posible para que todos puedan salir adelante. —Hillary #DemDebate,,False,Sun Nov 15 04:10:04 +0000 2015,433,665743545307807744
1675,TweetDeck,Donald Trump could bankrupt America like he bankrupted his companies. Let's make sure he never gets the chance: https://t.co/04t1BHwlVc,HillaryClinton,False,Tue May 24 19:08:08 +0000 2016,933,735185631148703748
810,TweetDeck,"""I salute the Black Lives movement for raising this issue to the high priority it is.""—Hillary on race and criminal justice reform at #USHCC",,False,Thu Oct 15 17:07:12 +0000 2015,423,654705093346902020
992,TweetDeck,"""These are not only problems of economic inequality. They are problems of racial inequality. We’ve got to say that loudly and clearly.""",,False,Tue Feb 16 21:16:20 +0000 2016,556,699703882327396352
1471,TweetDeck,The choice we face on climate change. https://t.co/ZbNvMcFwyr,HillaryClinton,False,Tue Oct 11 19:43:53 +0000 2016,704,785928929764925440
11288,Twitter Web Client,"Hillary on the faith that drives her: ""Do all the good you can for all the people you can in all the ways you can."" https://t.co/lJH7FVc1wa",,False,Sat Sep 10 16:13:03 +0000 2016,4050,774641850238005248
1389,TweetDeck,"""You don't just deserve a seat at the table. It's past time you had a fair chance to run the meeting."" —Hillary to the Black Women’s Agenda",HillaryClinton,False,Fri Sep 16 13:54:26 +0000 2016,656,776781293287829504
5334,TweetDeck,"With just 9 days until Election Day, Hillary is campaigning in Florida. Tune in to watch her live: https://t.co/dkg7pwiNMt",,False,Sun Oct 30 18:02:08 +0000 2016,1399,792788692876296192
3415,TweetDeck,"""He's taken the Republican Party a long way, from 'Morning in America’ to 'Midnight in America.’” —Hillary on Trump",,False,Fri Jul 29 02:40:13 +0000 2016,1060,758854614984761345
8498,TweetDeck,"In one week, Trump has:
✓Lost a debate
✓Attacked a woman at 5 am on Twitter
✓Had his net worth downgraded
and more: https://t.co/HAA0yI9JLl",,False,Mon Oct 03 15:04:16 +0000 2016,3560,782959460797059072
4094,TweetDeck,"""You’re not intruders. You’re our neighbors, our colleagues, our friends, our families...I see you, and I am with you."" —Hillary to @CHCI",,False,Fri Sep 16 00:55:03 +0000 2016,1270,776585154383020033
15368,Twitter Web Client,.@realdonaldtrump should stop complimenting women and start respecting them. #GOPdebate,,False,Thu Sep 17 01:17:30 +0000 2015,10394,644319231350321153
9110,TweetDeck,"Every girl—in every country—deserves to get an education and reach her dreams. Thank you, @FLOTUS. https://t.co/1KhjnUAtLl #DayoftheGirl",,False,Tue Oct 11 17:04:35 +0000 2016,3548,785888840842174464
546,Twitter Web Client,Before midnight: Last chance to pitch in and have your name added to the new Donor Wall at HQ!→http://t.co/YK25oJk0RY http://t.co/GQq3Xcr9Pd,,False,Wed Aug 26 01:31:21 +0000 2015,237,636350183287209984
2160,TweetDeck,Let's not divide ourselves between “us” and “them.” America works better when we all do our part. We’re in this together.,,False,Fri Feb 26 18:00:14 +0000 2016,834,703278414497763329
1487,TweetDeck,We know there are more Flints. We need to tackle environmental racism and injustice nationwide. #DemDebate https://t.co/FpV5S8eVTT,,False,Mon Mar 07 02:45:39 +0000 2016,913,706672130906312705
5878,Twitter Web Client,"A new friend in Brooklyn.
https://t.co/5v8Ka03njc",,False,Sat Apr 16 23:27:53 +0000 2016,2031,721480261737680897
1193,TweetDeck,"""They couldn't take him on on the issues because they basically agreed with him."" —Hillary on Trump's @GOP rivals: https://t.co/tHSMxfom9b",,False,Wed May 04 18:31:25 +0000 2016,674,727928634573475842
2911,TweetDeck,It’s a lot easier to get from 90% coverage to 100% than to start over. We need to build on and protect the Affordable Care Act. #DemDebate,,False,Thu Mar 10 03:27:39 +0000 2016,1397,707769860948934657
17894,TweetDeck,"""Thank you for this incredible journey.
Let’s keep it going.
God bless the United States of America!"" —@POTUS https://t.co/pgv3aUXdle",,False,Thu Jul 28 03:44:01 +0000 2016,7166,758508281937534976
4821,TweetDeck,"""Public colleges and universities should be tuition-free for anyone who makes less than $125,000 a year.” —Hillary https://t.co/axHVelhvXh",HillaryClinton,False,Mon Nov 07 21:44:16 +0000 2016,1685,795743697023434755
22789,Twitter Web Client,"Our kids are watching, Donald.
https://t.co/yRnhmfHIWh",,False,Wed Aug 10 00:18:12 +0000 2016,11344,763167527933386752
